KO	Gene_identification	A	B	C	D
K10848	ERCC4, XPF; DNA excision repair protein ERCC-4 [EC:3.1.-.-]	NA	NA	NA	NA
K10610	DDB1; DNA damage-binding protein 1	Structural complex	Genetic information processing	Ubiquitin system	Cul4-DDB1-DDB2 complex
K10610	DDB1; DNA damage-binding protein 1	Structural complex	Genetic information processing	Ubiquitin system	Cul4-DDB1-CSA complex
K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS	NA	NA	NA	NA
K15909	SHIP2, INPPL1; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2 [EC:3.1.3.86]	NA	NA	NA	NA
K12868	SYF2; pre-mRNA-splicing factor SYF2	Structural complex	Genetic information processing	Spliceosome	Spliceosome, 35S U5-snRNP
K05186	GABRG; gamma-aminobutyric acid receptor subunit gamma	NA	NA	NA	NA
K04309	LGR4, GPR48; leucine-rich repeat-containing G protein-coupled receptor 4	NA	NA	NA	NA
K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]	NA	NA	NA	NA
K04879	KCNA6; potassium voltage-gated channel Shaker-related subfamily A member 6	NA	NA	NA	NA
K02091	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	Functional set	Environmental information processing	Cell signaling	Cell cycle - G1/S transition
K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.4]	Pathway module	Energy metabolism	Nitrogen metabolism	Assimilatory nitrate reduction, nitrate => ammonia
K07583	PUS10; tRNA pseudouridine synthase 10 [EC:5.4.99.-]	NA	NA	NA	NA
K00651	metA; homoserine O-succinyltransferase [EC:2.3.1.46]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine biosynthesis, apartate => homoserine => methionine
K13721	APE2; aminopeptidase 2 [EC:3.4.11.-]	NA	NA	NA	NA
K01855	PUS3, DEG1; tRNA pseudouridine38/39 synthase [EC:5.4.99.45]	NA	NA	NA	NA
K18158	NCA2; nuclear control of ATPase protein 2	NA	NA	NA	NA
K15404	K15404, CER1; aldehyde decarbonylase [EC:4.1.99.5]	NA	NA	NA	NA
K02583	NGFR, CD271; nerve growth factor receptor (TNFR superfamily member 16)	NA	NA	NA	NA
K05625	TGM2; transglutaminase 2 [EC:2.3.2.13]	NA	NA	NA	NA
K17290	HTATIP2; oxidoreductase [EC:1.1.1.-]	NA	NA	NA	NA
K12129	PRR7; pseudo-response regulator 7	NA	NA	NA	NA
K02140	ATPeFG, ATP5L, ATP20; F-type H+-transporting ATPase subunit g	Structural complex	Energy metabolism	ATP synthesis	F-type ATPase, eukaryotes
K05629	AIP1; atrophin-1 interacting protein 1	NA	NA	NA	NA
K13696	ABHD1_3; abhydrolase domain-containing protein 1/3	NA	NA	NA	NA
K05642	ABCA2; ATP-binding cassette, subfamily A (ABC1), member 2	NA	NA	NA	NA
K07004	K07004; uncharacterized protein	NA	NA	NA	NA
K03136	TFIIE1, GTF2E1, TFA1, tfe; transcription initiation factor TFIIE subunit alpha	NA	NA	NA	NA
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	Pathway module	Energy metabolism	Carbon fixation	3-Hydroxypropionate bi-cycle
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Ethylmalonyl pathway
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
K03781	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Photorespiration
K17608	STRN1_3_4; striatin 1/3/4	NA	NA	NA	NA
K09608	TLL1; tolloid-like protein 1 [EC:3.4.24.-]	NA	NA	NA	NA
K04037	chlL; light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	NA	NA	NA	NA
K18438	PDE10; cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:3.1.4.17 3.1.4.35]	NA	NA	NA	NA
K01024	HS3ST1; [heparan sulfate]-glucosamine 3-sulfotransferase 1 [EC:2.8.2.23]	NA	NA	NA	NA
K05866	CDC25B; M-phase inducer phosphatase 2 [EC:3.1.3.48]	Functional set	Environmental information processing	Cell signaling	DNA damage-induced cell cycle checkpoints
K13519	LPT1, ALE1; lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Triacylglycerol biosynthesis
K11407	HDAC6; histone deacetylase 6 [EC:3.5.1.98]	NA	NA	NA	NA
K15859	SKN7; osomolarity two-component system, response regulator SKN7	Functional set	Environmental information processing	Two-component regulatory system	SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system
K19471	RSPO1; R-spondin-1	NA	NA	NA	NA
K03152	thiJ; 4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis	NA	NA	NA	NA
K02708	psbF; photosystem II cytochrome b559 subunit beta	Structural complex	Energy metabolism	Photosynthesis	Photosystem II
K09880	mtnC, ENOPH1; enolase-phosphatase E1 [EC:3.1.3.77]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine salvage pathway
K14258	TRET1; facilitated trehalose transporter	NA	NA	NA	NA
K15439	EEF1E1, AIMP3; eukaryotic translation elongation factor 1 epsilon-1	NA	NA	NA	NA
K00650	LCAT; lecithin-cholesterol acyltransferase [EC:2.3.1.43]	NA	NA	NA	NA
K01840	manB; phosphomannomutase [EC:5.4.2.8]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
K03637	moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	NA	NA	NA	NA
K02600	nusA; N utilization substance protein A	NA	NA	NA	NA
K06223	dam; DNA adenine methylase [EC:2.1.1.72]	NA	NA	NA	NA
K16931	STAR; steroidogenic acute regulatory protein, mitochondrial	NA	NA	NA	NA
K17582	MKI67; antigen KI-67	NA	NA	NA	NA
K08136	SPOCK; sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	NA	NA	NA	NA
K04593	LPHN2; latrophilin 2	NA	NA	NA	NA
K15301	STXBP3, MUNC18-3; syntaxin-binding protein 3	NA	NA	NA	NA
K16833	PPP1R2, IPP2; protein phosphatase inhibitor 2	NA	NA	NA	NA
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	Pathway module	Energy metabolism	Nitrogen metabolism	Assimilatory nitrate reduction, nitrate => ammonia
K12322	GUCY2F; guanylate cyclase 2F [EC:4.6.1.2]	NA	NA	NA	NA
K09675	GAL3ST2; galactose-3-O-sulfotransferase 2 [EC:2.8.2.-]	NA	NA	NA	NA
K18849	BMT2; 25S rRNA (adenine2142-N1)-methyltransferase [EC:2.1.1.286]	NA	NA	NA	NA
K18667	ASCC2; activating signal cointegrator complex subunit 2	NA	NA	NA	NA
K04931	KCNS1; potassium voltage-gated channel delayed-rectifier subfamily S member 1	NA	NA	NA	NA
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	Pathway module	Carbohydrate and lipid metabolism	Lipopolysaccharide metabolism	Lipopolysaccharide biosynthesis, KDO2-lipid A
K19270	yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]	NA	NA	NA	NA
K10745	RNASEH2C; ribonuclease H2 subunit C	NA	NA	NA	NA
K04350	RASGRP1; RAS guanyl-releasing protein 1	NA	NA	NA	NA
K15711	SMARCA3, HLTF; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:3.6.4.- 2.3.2.27]	NA	NA	NA	NA
K12351	SMPD2; sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]	NA	NA	NA	NA
K17817	NUDT18, MTH3; 8-oxo-dGDP phosphatase [EC:3.6.1.58]	NA	NA	NA	NA
K16493	PCDHA; protocadherin alpha	NA	NA	NA	NA
K04431	MAP2K7, MKK7; mitogen-activated protein kinase kinase 7 [EC:2.7.12.2]	Functional set	Environmental information processing	Cell signaling	MAPK (JNK) signaling
K15369	TRAK1; trafficking kinesin-binding protein 1	NA	NA	NA	NA
K16544	CEP95; centrosomal protein CEP95	NA	NA	NA	NA
K02331	POL5, MYBBP1A; DNA polymerase phi [EC:2.7.7.7]	NA	NA	NA	NA
K11304	TIP60, KAT5, ESA1; histone acetyltransferase HTATIP [EC:2.3.1.48]	NA	NA	NA	NA
K01654	E2.5.1.56, neuB; N-acetylneuraminate synthase [EC:2.5.1.56]	NA	NA	NA	NA
K07377	NRXN; neurexin	NA	NA	NA	NA
K06278	CAV1; caveolin 1	NA	NA	NA	NA
K05591	dbpA; ATP-independent RNA helicase DbpA [EC:3.6.4.13]	NA	NA	NA	NA
K00883	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]	NA	NA	NA	NA
K14766	NOP14, UTP2; nucleolar protein 14	NA	NA	NA	NA
K09472	puuC, aldH; gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [EC:1.2.1.-]	Pathway module	Nucleotide and amino acid metabolism	Polyamine biosynthesis	GABA biosynthesis, prokaryotes, putrescine => GABA
K08114	PTPRZ; receptor-type tyrosine-protein phosphatase zeta [EC:3.1.3.48]	NA	NA	NA	NA
K11491	NCAPD3; condensin-2 complex subunit D3	NA	NA	NA	NA
K10433	MAP7; microtubule-associated protein 7	NA	NA	NA	NA
K12367	DOCK2; dedicator of cytokinesis protein 2	NA	NA	NA	NA
K05175	GABRA; gamma-aminobutyric acid receptor subunit alpha	NA	NA	NA	NA
K18167	SDHAF1; succinate dehydrogenase assembly factor 1	NA	NA	NA	NA
K04876	KCNA3; potassium voltage-gated channel Shaker-related subfamily A member 3	NA	NA	NA	NA
K05115	AXL, UFO; AXL receptor tyrosine kinase [EC:2.7.10.1]	NA	NA	NA	NA
K14459	HEX; hexosaminidase [EC:3.2.1.52]	NA	NA	NA	NA
K17552	PPP1R10; protein phosphatase 1 regulatory subunit 10	NA	NA	NA	NA
K00827	AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]	NA	NA	NA	NA
K16315	GSG2; serine/threonine-protein kinase haspin [EC:2.7.11.1]	NA	NA	NA	NA
K06096	VAPA; vesicle-associated membrane protein-associated protein A	NA	NA	NA	NA
K14313	NUP35, NUP53; nuclear pore complex protein Nup53	Structural complex	Genetic information processing	RNA processing	Nuclear pore complex
K11830	TFAM, MTTFA; transcription factor A, mitochondrial	NA	NA	NA	NA
K14058	ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA	NA	NA	NA	NA
K02058	ABC.SS.S; simple sugar transport system substrate-binding protein	Structural complex	Environmental information processing	Saccharide, polyol, and lipid transport system	Putative simple sugar transport system [BR:ko02000]
K06279	SHC1; SHC-transforming protein 1	NA	NA	NA	NA
K03711	fur; Fur family transcriptional regulator, ferric uptake regulator	NA	NA	NA	NA
K06983	K06983; uncharacterized protein	NA	NA	NA	NA
K17321	glpV; glycerol transport system substrate-binding protein	Structural complex	Environmental information processing	Saccharide, polyol, and lipid transport system	Glycerol transport system
K06085	SSX2IP, ADIP; synovial sarcoma, X breakpoint 2 interacting protein	NA	NA	NA	NA
K15636	PGM5; phosphoglucomutase-like protein 5	NA	NA	NA	NA
K19612	PDE12; 2',5'-phosphodiesterase [EC:3.1.13.4 3.1.4.-]	NA	NA	NA	NA
K17584	PCIF1; phosphorylated CTD-interacting factor 1	NA	NA	NA	NA
K08301	rng, cafA; ribonuclease G [EC:3.1.26.-]	NA	NA	NA	NA
K04892	KCND2; potassium voltage-gated channel Shal-related subfamily D member 2	NA	NA	NA	NA
K15422	SAL; 3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase [EC:3.1.3.7 3.1.3.57]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol
K14651	TAF15, NPL3; transcription initiation factor TFIID subunit 15	NA	NA	NA	NA
K01195	uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Glucuronate pathway (uronate pathway)
K01195	uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]	Pathway module	Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	Dermatan sulfate degradation
K01195	uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]	Pathway module	Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	Chondroitin sulfate degradation
K01195	uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]	Pathway module	Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	Heparan sulfate degradation
K01195	uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
K17346	TSPAN33; tetraspanin-33	NA	NA	NA	NA
K05126	RET; proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]	NA	NA	NA	NA
K08860	EIF2AK3; eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1]	NA	NA	NA	NA
K12166	HACE1; E3 ubiquitin-protein ligase HACE1 [EC:2.3.2.26]	NA	NA	NA	NA
K17541	SCYL2; SCY1-like protein 2	NA	NA	NA	NA
K14942	KHDRBS3, SLM2; KH domain-containing, RNA-binding, signal transduction-associated protein 3	NA	NA	NA	NA
K12487	GIT2; G protein-coupled receptor kinase interactor 2	NA	NA	NA	NA
K04675	ACVR1, ALK2; activin receptor type-1 [EC:2.7.11.30]	Functional set	Environmental information processing	Cell signaling	BMP signaling
K06528	LAMP1_2, CD107; lysosomal-associated membrane protein 1/2	NA	NA	NA	NA
K04496	CTBP; C-terminal binding protein	NA	NA	NA	NA
K06762	CNTN4; contactin 4	NA	NA	NA	NA
K18329	ISG20L2; interferon-stimulated 20 kDa exonuclease-like 2 [EC:3.1.-.-]	NA	NA	NA	NA
K06243	LAMB2; laminin, beta 2	NA	NA	NA	NA
K03848	ALG6; alpha-1,3-glucosyltransferase [EC:2.4.1.267]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan precursor biosynthesis
K18710	SLBP; histone RNA hairpin-binding protein	NA	NA	NA	NA
K11851	USP30; ubiquitin carboxyl-terminal hydrolase 30 [EC:3.4.19.12]	NA	NA	NA	NA
K18966	GADL1, CSADC, ADC; sulfinoalanine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.29 4.1.1.11]	NA	NA	NA	NA
K07627	GJC1; gap junction protein, chi 1	NA	NA	NA	NA
K03362	FBXW1_11, BTRC, beta-TRCP; F-box and WD-40 domain protein 1/11	Structural complex	Genetic information processing	Ubiquitin system	SCF-BTRC complex
K07044	K07044; uncharacterized protein	NA	NA	NA	NA
K11802	WDR32; WD repeat-containing protein 32	NA	NA	NA	NA
K13338	PEX1; peroxin-1	NA	NA	NA	NA
K09008	NDUFAF3; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	NA	NA	NA	NA
K12327	CALD1; caldesmon	NA	NA	NA	NA
K08886	TNK2, ACK1; activated CDC42 kinase 1 [EC:2.7.10.2 2.7.11.1]	NA	NA	NA	NA
K10337	ASB15; ankyrin repeat and SOCS box protein 15	NA	NA	NA	NA
K07993	MMP11; matrix metalloproteinase-11 (stromelysin 3) [EC:3.4.24.-]	NA	NA	NA	NA
K02723	psbY; photosystem II PsbY protein	NA	NA	NA	NA
K03245	EIF3J; translation initiation factor 3 subunit J	NA	NA	NA	NA
K04934	KCNV1; potassium channel subfamily V member 1	NA	NA	NA	NA
K10141	SESN1_3; sestrin 1/3	NA	NA	NA	NA
K10866	RAD50; DNA repair protein RAD50 [EC:3.6.-.-]	Structural complex	Genetic information processing	Repair system	MRN complex
K10866	RAD50; DNA repair protein RAD50 [EC:3.6.-.-]	Structural complex	Genetic information processing	Repair system	MRX complex
K10866	RAD50; DNA repair protein RAD50 [EC:3.6.-.-]	Structural complex	Genetic information processing	Repair system	BRCA1-associated genome surveillance complex (BASC)
K15191	LARP7; La-related protein 7	NA	NA	NA	NA
K13515	LPCAT3, MBOAT5; lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-]	NA	NA	NA	NA
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	D-Glucuronate degradation
K19916	DOC2A; double C2-like domain-containing protein alpha	NA	NA	NA	NA
K15180	COBRA1, NELFB; negative elongation factor B	NA	NA	NA	NA
K13167	SFRS15, SCAF4; splicing factor, arginine/serine-rich 15	NA	NA	NA	NA
K09329	PRRX, PMX; paired mesoderm homeobox protein	NA	NA	NA	NA
K11942	E5.4.99.2; methylmalonyl-CoA mutase [EC:5.4.99.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
K01571	oadA; oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3]	NA	NA	NA	NA
K09399	FOXF; forkhead box protein F	NA	NA	NA	NA
K16494	PCDHB; protocadherin beta	NA	NA	NA	NA
K18440	ARAP2; Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2	NA	NA	NA	NA
K17429	MRPL48; large subunit ribosomal protein L48	NA	NA	NA	NA
K06709	KDM4, JMJD2, JHDM3; jumonji domain-containing protein 2 [EC:1.14.11.-]	NA	NA	NA	NA
K16461	CEP135, CEP4; centrosomal protein CEP135	NA	NA	NA	NA
K08220	FLVCR, SLC49A1_2; MFS transporter, FLVCR family, feline leukemia virus subgroup C receptor-related protein	NA	NA	NA	NA
K17824	DCUN1D4_5; DCN1-like protein 4/5	NA	NA	NA	NA
K07095	K07095; uncharacterized protein	NA	NA	NA	NA
K12899	SFRS11; splicing factor, arginine/serine-rich 11	NA	NA	NA	NA
K01655	LYS21, LYS20; homocitrate synthase [EC:2.3.3.14]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
K01655	LYS21, LYS20; homocitrate synthase [EC:2.3.3.14]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
K01147	rnb; exoribonuclease II [EC:3.1.13.1]	NA	NA	NA	NA
K13104	ZNF830, CCDC16; zinc finger protein 830	NA	NA	NA	NA
K08601	CYLD, USLP2; ubiquitin thioesterase [EC:3.4.19.12]	NA	NA	NA	NA
K05085	ERBB4, HER4; receptor tyrosine-protein kinase erbB-4 [EC:2.7.10.1]	NA	NA	NA	NA
K10281	FBXL15; F-box and leucine-rich repeat protein 15	NA	NA	NA	NA
K06564	IGF2R, CD222; insulin-like growth factor 2 receptor	NA	NA	NA	NA
K16466	CETN3, CDC31; centrin-3	NA	NA	NA	NA
K01299	E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]	NA	NA	NA	NA
K03961	NDUFB5; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
K03853	CAPN2; calpain-2 [EC:3.4.22.53]	NA	NA	NA	NA
K01480	speB; agmatinase [EC:3.5.3.11]	Pathway module	Nucleotide and amino acid metabolism	Polyamine biosynthesis	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
K09431	ETV1; ets translocation variant 1	NA	NA	NA	NA
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	NA	NA	NA	NA
K12167	HECW1; E3 ubiquitin-protein ligase HECW1 [EC:2.3.2.26]	NA	NA	NA	NA
K14405	FIP1L1, FIP1; pre-mRNA 3'-end-processing factor FIP1	NA	NA	NA	NA
K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	NA	NA	NA	NA
K09270	SOX7S; transcription factor SOX7/8/10/18 (SOX group E/F)	NA	NA	NA	NA
K16845	suyA; (2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]	NA	NA	NA	NA
K13169	SFRS17; splicing factor, arginine/serine-rich 17	NA	NA	NA	NA
K06860	K06860; putative heme uptake system protein	NA	NA	NA	NA
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	Pathway module	Energy metabolism	Methane metabolism	Formaldehyde assimilation, serine pathway
K11833	USP2_21; ubiquitin carboxyl-terminal hydrolase 2/21 [EC:3.4.19.12]	NA	NA	NA	NA
K04405	ECSIT; evolutionarily conserved signaling intermediate in Toll pathway	NA	NA	NA	NA
K06950	K06950; uncharacterized protein	NA	NA	NA	NA
K13187	RBM4; RNA-binding protein 4	NA	NA	NA	NA
K02552	menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Menaquinone biosynthesis, chorismate => menaquinone
K15187	MLLT1_3, ENL, AF9; YEATS domain-containing protein 1/3	NA	NA	NA	NA
K09403	FOXJ2_3; forkhead box protein J2/3	NA	NA	NA	NA
K16537	PCM1; pericentriolar material 1 protein	NA	NA	NA	NA
K00488	CYP27A; cholestanetriol 26-monooxygenase [EC:1.14.15.15]	Pathway module	Carbohydrate and lipid metabolism	Sterol biosynthesis	Bile acid biosynthesis, cholesterol => cholate
K15455	DPH3, KTI11; diphthamide biosynthesis protein 3	NA	NA	NA	NA
K15608	PAX2; paired box protein 2	NA	NA	NA	NA
K02715	psbN; PsbN protein	NA	NA	NA	NA
K10295	FBXO9; F-box protein 9	NA	NA	NA	NA
K15693	RNF26; RING finger protein 26	NA	NA	NA	NA
K08285	TRIM18, MID1; midline 1 [EC:2.3.2.27]	NA	NA	NA	NA
K16536	HOOK3; protein HOOK3	NA	NA	NA	NA
K04875	KCNA2; potassium voltage-gated channel Shaker-related subfamily A member 2	NA	NA	NA	NA
K02090	CDK5; cyclin-dependent kinase 5 [EC:2.7.11.22]	NA	NA	NA	NA
K15412	CFP; complement factor properdin	NA	NA	NA	NA
K08375	NPFFR2; neuropeptide FF receptor 2	NA	NA	NA	NA
K03806	ampD; AmpD protein	NA	NA	NA	NA
K05627	BAIAP2, IRSP53; BAI1-associated protein 2	NA	NA	NA	NA
K10738	MCM9; DNA helicase MCM9 [EC:3.6.4.12]	NA	NA	NA	NA
K08814	TRIB1_2; tribbles homolog 1/2	NA	NA	NA	NA
K17635	RGL1, RGL; ral guanine nucleotide dissociation stimulator-like 1	NA	NA	NA	NA
K08099	E3.1.1.14; chlorophyllase [EC:3.1.1.14]	NA	NA	NA	NA
K06969	rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	NA	NA	NA	NA
K10680	nemA; N-ethylmaleimide reductase [EC:1.-.-.-]	NA	NA	NA	NA
K08339	ATG5; autophagy-related protein 5	NA	NA	NA	NA
K13759	PDE6G; retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma	NA	NA	NA	NA
K18283	PDE2A; cGMP-dependent 3',5'-cyclic phosphodiesterase [EC:3.1.4.17]	Functional set	Environmental information processing	Cell signaling	cGMP signaling
K17277	EPS8; epidermal growth factor receptor kinase substrate 8	NA	NA	NA	NA
K01522	FHIT; bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29]	NA	NA	NA	NA
K16165	nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]	NA	NA	NA	NA
K17553	PPP1R11; protein phosphatase 1 regulatory subunit 11	NA	NA	NA	NA
K07967	B4GALT2; beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan biosynthesis, complex type
K07967	B4GALT2; beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer
K06460	CD9, TSPAN29; CD9 antigen	NA	NA	NA	NA
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	NA	NA	NA	NA
K06068	PRKCD; novel protein kinase C delta type [EC:2.7.11.13]	NA	NA	NA	NA
K18263	GPR98; G-protein coupled receptor 98	NA	NA	NA	NA
K11305	MYST3, KAT6A; histone acetyltransferase MYST3 [EC:2.3.1.48]	NA	NA	NA	NA
K17494	CSRNP; cysteine/serine-rich nuclear protein	NA	NA	NA	NA
K05672	ABCC12; ATP-binding cassette, subfamily C (CFTR/MRP), member 12	NA	NA	NA	NA
K08858	SBK; serine/threonine-protein kinase SBK [EC:2.7.11.1]	NA	NA	NA	NA
K07443	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein	NA	NA	NA	NA
K18328	DBR1; lariat debranching enzyme [EC:3.1.-.-]	NA	NA	NA	NA
K07444	ypsC; putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	NA	NA	NA	NA
K02495	hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Heme biosynthesis, glutamate => protoheme/siroheme
K01562	DIO1; type I thyroxine 5'-deiodinase [EC:1.21.99.4]	NA	NA	NA	NA
K18702	uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]	NA	NA	NA	NA
K08797	HUNK; hormonally upregulated Neu-associated kinase [EC:2.7.11.1]	NA	NA	NA	NA
K04458	PTPRR; receptor-type tyrosine-protein phosphatase R [EC:3.1.3.48]	NA	NA	NA	NA
K14755	CRNS1, ATPGD1; carnosine synthase [EC:6.3.2.11]	NA	NA	NA	NA
K15341	DCLRE1B, SNM1B; DNA cross-link repair 1B protein [EC:3.1.-.-]	NA	NA	NA	NA
K09287	RAV; RAV-like factor	NA	NA	NA	NA
K14945	QKI; protein quaking	NA	NA	NA	NA
K04255	OPN4, Rh2_7; r-opsin	NA	NA	NA	NA
K03845	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan precursor biosynthesis
K04716	SGPP1; sphingosine-1-phosphate phosphatase 1 [EC:3.1.3.-]	NA	NA	NA	NA
K08655	DPP8; dipeptidyl-peptidase 8 [EC:3.4.14.5]	NA	NA	NA	NA
K11459	PCGF4, BMI1; polycomb group RING finger protein 4	NA	NA	NA	NA
K12232	HECTD2; E3 ubiquitin-protein ligase HECTD2 [EC:2.3.2.26]	NA	NA	NA	NA
K18983	gci; D-galactarolactone cycloisomerase [EC:5.5.1.27]	NA	NA	NA	NA
K07809	HS3ST3; [heparan sulfate]-glucosamine 3-sulfotransferase 3 [EC:2.8.2.30]	NA	NA	NA	NA
K12557	MYBPC1; myosin-binding protein C, slow-type	NA	NA	NA	NA
K18419	DCGR8; microprocessor complex subunit DGCR8	NA	NA	NA	NA
K01686	uxuA; mannonate dehydratase [EC:4.2.1.8]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	D-Glucuronate degradation
K09655	B4GALNT2; beta-1,4-N-acetylgalactosaminyltransferase 2 [EC:2.4.1.-]	NA	NA	NA	NA
